<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
20210924;204400;173310.0000000;173330.0000000;173290.0000000;173310.0000000;309
20210924;204500;173310.0000000;173330.0000000;173290.0000000;173330.0000000;137
20210924;204600;173330.0000000;173360.0000000;173330.0000000;173340.0000000;222
20210924;204700;173340.0000000;173350.0000000;173330.0000000;173330.0000000;224
20210924;204800;173350.0000000;173350.0000000;173310.0000000;173320.0000000;296
20210924;204900;173320.0000000;173350.0000000;173310.0000000;173330.0000000;149
20210924;205000;173340.0000000;173350.0000000;173320.0000000;173320.0000000;40
20210924;205100;173330.0000000;173340.0000000;173310.0000000;173330.0000000;32
20210924;205200;173340.0000000;173340.0000000;173310.0000000;173320.0000000;172
20210924;205300;173320.0000000;173320.0000000;173260.0000000;173280.0000000;175
20210924;205400;173280.0000000;173280.0000000;173230.0000000;173250.0000000;203
20210924;205500;173240.0000000;173260.0000000;173230.0000000;173250.0000000;106
20210924;205600;173250.0000000;173270.0000000;173240.0000000;173260.0000000;112
20210924;205700;173260.0000000;173260.0000000;173240.0000000;173240.0000000;144
20210924;205800;173240.0000000;173250.0000000;173220.0000000;173250.0000000;83
20210924;205900;173240.0000000;173250.0000000;173230.0000000;173240.0000000;159
20210924;210000;173240.0000000;173280.0000000;173220.0000000;173250.0000000;384
20210924;210100;173260.0000000;173290.0000000;173250.0000000;173290.0000000;122
20210924;210200;173280.0000000;173280.0000000;173230.0000000;173260.0000000;113
20210924;210300;173260.0000000;173290.0000000;173250.0000000;173270.0000000;148
20210924;210400;173280.0000000;173300.0000000;173270.0000000;173300.0000000;109
20210924;210500;173310.0000000;173350.0000000;173300.0000000;173310.0000000;539
20210924;210600;173320.0000000;173320.0000000;173280.0000000;173310.0000000;54
20210924;210700;173280.0000000;173300.0000000;173260.0000000;173280.0000000;107
20210924;210800;173270.0000000;173280.0000000;173240.0000000;173240.0000000;57
20210924;210900;173240.0000000;173250.0000000;173230.0000000;173230.0000000;75
20210924;211000;173240.0000000;173240.0000000;173180.0000000;173200.0000000;361
20210924;211100;173190.0000000;173200.0000000;173180.0000000;173180.0000000;318
20210924;211200;173180.0000000;173190.0000000;173150.0000000;173160.0000000;324
20210924;211300;173150.0000000;173220.0000000;173150.0000000;173200.0000000;334
20210924;211400;173200.0000000;173230.0000000;173180.0000000;173180.0000000;126
20210924;211500;173170.0000000;173200.0000000;173170.0000000;173180.0000000;145
20210924;211600;173200.0000000;173200.0000000;173160.0000000;173160.0000000;119
20210924;211700;173180.0000000;173250.0000000;173180.0000000;173210.0000000;196
20210924;211800;173210.0000000;173240.0000000;173210.0000000;173220.0000000;30
20210924;211900;173220.0000000;173220.0000000;173190.0000000;173190.0000000;49
20210924;212000;173200.0000000;173210.0000000;173180.0000000;173200.0000000;51
20210924;212100;173200.0000000;173220.0000000;173200.0000000;173220.0000000;45
20210924;212200;173210.0000000;173220.0000000;173180.0000000;173210.0000000;68
20210924;212300;173210.0000000;173210.0000000;173190.0000000;173200.0000000;15
20210924;212400;173190.0000000;173210.0000000;173180.0000000;173200.0000000;64
20210924;212500;173180.0000000;173220.0000000;173180.0000000;173200.0000000;82
20210924;212600;173220.0000000;173240.0000000;173210.0000000;173220.0000000;108
20210924;212700;173220.0000000;173250.0000000;173210.0000000;173220.0000000;155
20210924;212800;173240.0000000;173240.0000000;173200.0000000;173210.0000000;38
20210924;212900;173220.0000000;173280.0000000;173220.0000000;173260.0000000;173
20210924;213000;173270.0000000;173300.0000000;173260.0000000;173300.0000000;169
20210924;213100;173290.0000000;173340.0000000;173290.0000000;173290.0000000;413
20210924;213200;173290.0000000;173330.0000000;173290.0000000;173320.0000000;129
20210924;213300;173320.0000000;173340.0000000;173310.0000000;173330.0000000;164
20210924;213400;173330.0000000;173340.0000000;173310.0000000;173310.0000000;145
20210924;213500;173320.0000000;173350.0000000;173320.0000000;173340.0000000;205
20210924;213600;173350.0000000;173350.0000000;173320.0000000;173320.0000000;187
20210924;213700;173310.0000000;173380.0000000;173310.0000000;173360.0000000;446
20210924;213800;173350.0000000;173400.0000000;173350.0000000;173370.0000000;396
20210924;213900;173360.0000000;173410.0000000;173360.0000000;173400.0000000;187
20210924;214000;173410.0000000;173410.0000000;173380.0000000;173380.0000000;109
20210924;214100;173380.0000000;173390.0000000;173350.0000000;173350.0000000;139
20210924;214200;173360.0000000;173370.0000000;173340.0000000;173360.0000000;129
20210924;214300;173370.0000000;173380.0000000;173350.0000000;173380.0000000;46
20210924;214400;173380.0000000;173390.0000000;173380.0000000;173380.0000000;43
20210924;214500;173380.0000000;173390.0000000;173330.0000000;173330.0000000;137
20210924;214600;173340.0000000;173350.0000000;173320.0000000;173340.0000000;51
20210924;214700;173340.0000000;173340.0000000;173330.0000000;173330.0000000;160
20210924;214800;173320.0000000;173320.0000000;173280.0000000;173310.0000000;372
20210924;214900;173320.0000000;173320.0000000;173310.0000000;173320.0000000;38
20210924;215000;173330.0000000;173340.0000000;173330.0000000;173340.0000000;46
20210924;215100;173330.0000000;173360.0000000;173330.0000000;173350.0000000;138
20210924;215200;173360.0000000;173380.0000000;173360.0000000;173360.0000000;60
20210924;215300;173360.0000000;173390.0000000;173360.0000000;173390.0000000;62
20210924;215400;173370.0000000;173390.0000000;173360.0000000;173380.0000000;57
20210924;215500;173370.0000000;173380.0000000;173370.0000000;173370.0000000;102
20210924;215600;173360.0000000;173370.0000000;173350.0000000;173360.0000000;43
20210924;215700;173370.0000000;173380.0000000;173360.0000000;173370.0000000;30
20210924;215800;173380.0000000;173400.0000000;173370.0000000;173400.0000000;54
20210924;215900;173400.0000000;173410.0000000;173390.0000000;173400.0000000;158
20210924;220000;173400.0000000;173430.0000000;173380.0000000;173380.0000000;360
20210924;220100;173400.0000000;173400.0000000;173380.0000000;173390.0000000;63
20210924;220200;173400.0000000;173400.0000000;173380.0000000;173390.0000000;92
20210924;220300;173400.0000000;173420.0000000;173400.0000000;173410.0000000;125
20210924;220400;173400.0000000;173420.0000000;173380.0000000;173400.0000000;72
