<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
20211011;070000;184410.0000000;185230.0000000;184410.0000000;185120.0000000;3148
20211011;070100;185140.0000000;185480.0000000;185140.0000000;185480.0000000;2275
20211011;070200;185480.0000000;185510.0000000;185400.0000000;185410.0000000;640
20211011;070300;185410.0000000;185430.0000000;185260.0000000;185280.0000000;743
20211011;070400;185280.0000000;185410.0000000;185150.0000000;185370.0000000;875
20211011;070500;185370.0000000;185420.0000000;185350.0000000;185360.0000000;414
20211011;070600;185370.0000000;185370.0000000;185300.0000000;185300.0000000;265
20211011;070700;185310.0000000;185360.0000000;185250.0000000;185330.0000000;349
20211011;070800;185340.0000000;185400.0000000;185340.0000000;185380.0000000;250
20211011;070900;185390.0000000;185400.0000000;185330.0000000;185360.0000000;189
20211011;071000;185370.0000000;185370.0000000;185320.0000000;185340.0000000;365
20211011;071100;185350.0000000;185400.0000000;185330.0000000;185360.0000000;200
20211011;071200;185360.0000000;185420.0000000;185360.0000000;185400.0000000;451
20211011;071300;185390.0000000;185450.0000000;185390.0000000;185440.0000000;326
20211011;071400;185430.0000000;185470.0000000;185430.0000000;185470.0000000;164
20211011;071500;185470.0000000;185550.0000000;185450.0000000;185540.0000000;864
20211011;071600;185530.0000000;185560.0000000;185500.0000000;185500.0000000;435
20211011;071700;185520.0000000;185520.0000000;185370.0000000;185410.0000000;667
20211011;071800;185420.0000000;185460.0000000;185400.0000000;185400.0000000;171
20211011;071900;185400.0000000;185480.0000000;185400.0000000;185430.0000000;518
20211011;072000;185420.0000000;185510.0000000;185420.0000000;185510.0000000;156
20211011;072100;185520.0000000;185560.0000000;185500.0000000;185520.0000000;307
20211011;072200;185500.0000000;185560.0000000;185500.0000000;185550.0000000;117
20211011;072300;185550.0000000;185560.0000000;185540.0000000;185560.0000000;112
20211011;072400;185560.0000000;185600.0000000;185550.0000000;185600.0000000;351
20211011;072500;185600.0000000;185660.0000000;185550.0000000;185660.0000000;843
20211011;072600;185650.0000000;185660.0000000;185600.0000000;185600.0000000;669
20211011;072700;185600.0000000;185610.0000000;185560.0000000;185570.0000000;310
20211011;072800;185580.0000000;185620.0000000;185570.0000000;185620.0000000;322
20211011;072900;185610.0000000;185630.0000000;185560.0000000;185570.0000000;398
20211011;073000;185580.0000000;185660.0000000;185570.0000000;185660.0000000;268
20211011;073100;185650.0000000;185660.0000000;185600.0000000;185600.0000000;277
20211011;073200;185600.0000000;185640.0000000;185580.0000000;185640.0000000;309
