<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
20200106;100000;62651.0000000;62730.0000000;62635.0000000;62718.0000000;13708
20200106;100100;62719.0000000;62740.0000000;62711.0000000;62731.0000000;5830
20200106;100200;62735.0000000;62769.0000000;62729.0000000;62753.0000000;8732
20200106;100300;62751.0000000;62846.0000000;62712.0000000;62803.0000000;37578
20200106;100400;62806.0000000;62959.0000000;62806.0000000;62829.0000000;48644
20200106;100500;62829.0000000;62894.0000000;62829.0000000;62840.0000000;11393
20200106;100600;62840.0000000;62854.0000000;62808.0000000;62828.0000000;11571
20200106;100700;62830.0000000;62831.0000000;62816.0000000;62823.0000000;2284
20200106;100800;62825.0000000;62866.0000000;62786.0000000;62854.0000000;10527
20200106;100900;62858.0000000;62887.0000000;62845.0000000;62886.0000000;7528
20200106;101000;62886.0000000;62887.0000000;62815.0000000;62819.0000000;9688
20200106;101100;62818.0000000;62835.0000000;62804.0000000;62811.0000000;4230
20200106;101200;62811.0000000;62842.0000000;62809.0000000;62831.0000000;4025
20200106;101300;62829.0000000;62837.0000000;62811.0000000;62815.0000000;1688
20200106;101400;62812.0000000;62820.0000000;62803.0000000;62818.0000000;2230
20200106;101500;62820.0000000;62844.0000000;62813.0000000;62825.0000000;4549
20200106;101600;62825.0000000;62827.0000000;62780.0000000;62785.0000000;3644
20200106;101700;62785.0000000;62792.0000000;62772.0000000;62772.0000000;1974
20200106;101800;62772.0000000;62790.0000000;62762.0000000;62773.0000000;2766
20200106;101900;62774.0000000;62812.0000000;62768.0000000;62798.0000000;4610
20200106;102000;62794.0000000;62812.0000000;62785.0000000;62785.0000000;2604
20200106;102100;62785.0000000;62795.0000000;62777.0000000;62781.0000000;1365
20200106;102200;62780.0000000;62806.0000000;62777.0000000;62799.0000000;2389
20200106;102300;62799.0000000;62809.0000000;62777.0000000;62788.0000000;1985
20200106;102400;62784.0000000;62785.0000000;62751.0000000;62753.0000000;3274
20200106;102500;62754.0000000;62757.0000000;62732.0000000;62749.0000000;6469
20200106;102600;62749.0000000;62749.0000000;62724.0000000;62746.0000000;2330
20200106;102700;62744.0000000;62748.0000000;62726.0000000;62740.0000000;2210
20200106;102800;62740.0000000;62763.0000000;62736.0000000;62752.0000000;3562
20200106;102900;62751.0000000;62768.0000000;62742.0000000;62767.0000000;2141
20200106;103000;62767.0000000;62777.0000000;62738.0000000;62769.0000000;6837
20200106;103100;62766.0000000;62790.0000000;62763.0000000;62784.0000000;4425
20200106;103200;62785.0000000;62785.0000000;62742.0000000;62747.0000000;2294
20200106;103300;62745.0000000;62751.0000000;62709.0000000;62713.0000000;3713
20200106;103400;62713.0000000;62716.0000000;62685.0000000;62704.0000000;4227
20200106;103500;62702.0000000;62719.0000000;62696.0000000;62716.0000000;3781
20200106;103600;62717.0000000;62717.0000000;62705.0000000;62710.0000000;736
20200106;103700;62708.0000000;62716.0000000;62700.0000000;62706.0000000;2676
20200106;103800;62707.0000000;62712.0000000;62672.0000000;62679.0000000;2576
20200106;103900;62678.0000000;62680.0000000;62660.0000000;62673.0000000;2469
20200106;104000;62672.0000000;62680.0000000;62651.0000000;62658.0000000;2991
20200106;104100;62657.0000000;62673.0000000;62656.0000000;62671.0000000;2061
20200106;104200;62673.0000000;62683.0000000;62670.0000000;62678.0000000;1823
20200106;104300;62679.0000000;62680.0000000;62670.0000000;62676.0000000;1171
20200106;104400;62676.0000000;62677.0000000;62664.0000000;62666.0000000;1507
20200106;104500;62668.0000000;62674.0000000;62664.0000000;62666.0000000;1572
20200106;104600;62665.0000000;62673.0000000;62657.0000000;62671.0000000;1697
20200106;104700;62673.0000000;62695.0000000;62670.0000000;62692.0000000;3102
20200106;104800;62692.0000000;62706.0000000;62688.0000000;62695.0000000;1978
20200106;104900;62695.0000000;62710.0000000;62695.0000000;62704.0000000;1447
20200106;105000;62705.0000000;62737.0000000;62705.0000000;62726.0000000;3588
20200106;105100;62729.0000000;62729.0000000;62714.0000000;62715.0000000;1655
20200106;105200;62716.0000000;62720.0000000;62705.0000000;62706.0000000;1509
20200106;105300;62706.0000000;62714.0000000;62695.0000000;62696.0000000;1183
20200106;105400;62697.0000000;62705.0000000;62693.0000000;62700.0000000;1015
20200106;105500;62702.0000000;62703.0000000;62690.0000000;62699.0000000;1183
20200106;105600;62701.0000000;62705.0000000;62694.0000000;62702.0000000;752
20200106;105700;62702.0000000;62715.0000000;62699.0000000;62713.0000000;926
20200106;105800;62713.0000000;62725.0000000;62713.0000000;62721.0000000;946
20200106;105900;62723.0000000;62748.0000000;62722.0000000;62744.0000000;2674
20200106;110000;62742.0000000;62749.0000000;62724.0000000;62731.0000000;3550
20200106;110100;62731.0000000;62736.0000000;62718.0000000;62733.0000000;1714
20200106;110200;62733.0000000;62738.0000000;62710.0000000;62711.0000000;1959
20200106;110300;62711.0000000;62725.0000000;62709.0000000;62709.0000000;582
20200106;110400;62708.0000000;62720.0000000;62708.0000000;62712.0000000;401
20200106;110500;62715.0000000;62729.0000000;62710.0000000;62722.0000000;890
20200106;110600;62721.0000000;62726.0000000;62715.0000000;62715.0000000;325
20200106;110700;62717.0000000;62720.0000000;62697.0000000;62706.0000000;982
20200106;110800;62702.0000000;62708.0000000;62701.0000000;62706.0000000;329
20200106;110900;62708.0000000;62708.0000000;62690.0000000;62693.0000000;825
20200106;111000;62693.0000000;62704.0000000;62685.0000000;62694.0000000;1378
20200106;111100;62694.0000000;62703.0000000;62692.0000000;62697.0000000;632
20200106;111200;62699.0000000;62707.0000000;62694.0000000;62698.0000000;633
20200106;111300;62700.0000000;62717.0000000;62698.0000000;62700.0000000;1654
20200106;111400;62700.0000000;62726.0000000;62700.0000000;62718.0000000;1137
20200106;111500;62716.0000000;62728.0000000;62707.0000000;62710.0000000;649
20200106;111600;62709.0000000;62713.0000000;62700.0000000;62705.0000000;644
20200106;111700;62705.0000000;62713.0000000;62700.0000000;62700.0000000;222
20200106;111800;62703.0000000;62722.0000000;62700.0000000;62721.0000000;684
20200106;111900;62719.0000000;62721.0000000;62708.0000000;62719.0000000;493
20200106;112000;62718.0000000;62722.0000000;62692.0000000;62701.0000000;1580
20200106;112100;62704.0000000;62706.0000000;62691.0000000;62693.0000000;1196
20200106;112200;62693.0000000;62700.0000000;62688.0000000;62688.0000000;920
20200106;112300;62689.0000000;62696.0000000;62689.0000000;62689.0000000;415
20200106;112400;62690.0000000;62690.0000000;62675.0000000;62686.0000000;2854
20200106;112500;62686.0000000;62699.0000000;62676.0000000;62695.0000000;1210
20200106;112600;62693.0000000;62704.0000000;62686.0000000;62701.0000000;529
20200106;112700;62704.0000000;62720.0000000;62700.0000000;62716.0000000;2143
20200106;112800;62716.0000000;62725.0000000;62710.0000000;62725.0000000;880
20200106;112900;62723.0000000;62729.0000000;62718.0000000;62729.0000000;1216
20200106;113000;62724.0000000;62732.0000000;62716.0000000;62727.0000000;1501
20200106;113100;62726.0000000;62739.0000000;62725.0000000;62728.0000000;1232
20200106;113200;62732.0000000;62740.0000000;62729.0000000;62739.0000000;560
20200106;113300;62739.0000000;62762.0000000;62739.0000000;62760.0000000;3762
20200106;113400;62761.0000000;62766.0000000;62753.0000000;62754.0000000;1232
20200106;113500;62755.0000000;62759.0000000;62749.0000000;62753.0000000;1079
20200106;113600;62754.0000000;62755.0000000;62730.0000000;62736.0000000;1790
20200106;113700;62735.0000000;62742.0000000;62730.0000000;62737.0000000;424
20200106;113800;62742.0000000;62762.0000000;62742.0000000;62756.0000000;1651
20200106;113900;62756.0000000;62766.0000000;62755.0000000;62760.0000000;984
20200106;114000;62760.0000000;62768.0000000;62760.0000000;62768.0000000;873
20200106;114100;62768.0000000;62778.0000000;62766.0000000;62773.0000000;2681
20200106;114200;62773.0000000;62776.0000000;62744.0000000;62752.0000000;2585
20200106;114300;62753.0000000;62762.0000000;62752.0000000;62754.0000000;1294
20200106;114400;62755.0000000;62755.0000000;62733.0000000;62736.0000000;1325
20200106;114500;62739.0000000;62745.0000000;62731.0000000;62734.0000000;889
20200106;114600;62734.0000000;62745.0000000;62726.0000000;62727.0000000;1168
20200106;114700;62730.0000000;62737.0000000;62727.0000000;62733.0000000;713
20200106;114800;62730.0000000;62741.0000000;62727.0000000;62730.0000000;755
20200106;114900;62730.0000000;62732.0000000;62723.0000000;62724.0000000;893
20200106;115000;62723.0000000;62727.0000000;62718.0000000;62727.0000000;1001
20200106;115100;62725.0000000;62748.0000000;62724.0000000;62741.0000000;2205
20200106;115200;62741.0000000;62743.0000000;62734.0000000;62743.0000000;549
20200106;115300;62745.0000000;62753.0000000;62741.0000000;62752.0000000;949
20200106;115400;62753.0000000;62761.0000000;62749.0000000;62761.0000000;838
20200106;115500;62762.0000000;62764.0000000;62754.0000000;62758.0000000;1404
20200106;115600;62758.0000000;62758.0000000;62734.0000000;62740.0000000;1408
20200106;115700;62741.0000000;62753.0000000;62737.0000000;62740.0000000;1256
20200106;115800;62740.0000000;62740.0000000;62728.0000000;62729.0000000;730
20200106;115900;62731.0000000;62737.0000000;62728.0000000;62735.0000000;721
20200106;120000;62732.0000000;62735.0000000;62724.0000000;62730.0000000;1488
20200106;120100;62730.0000000;62730.0000000;62711.0000000;62718.0000000;1349
20200106;120200;62720.0000000;62723.0000000;62711.0000000;62720.0000000;731
20200106;120300;62721.0000000;62723.0000000;62708.0000000;62720.0000000;468
20200106;120400;62720.0000000;62720.0000000;62707.0000000;62707.0000000;414
20200106;120500;62708.0000000;62731.0000000;62707.0000000;62730.0000000;1389
20200106;120600;62730.0000000;62735.0000000;62725.0000000;62735.0000000;750
20200106;120700;62734.0000000;62745.0000000;62731.0000000;62739.0000000;767
20200106;120800;62739.0000000;62742.0000000;62728.0000000;62735.0000000;720
20200106;120900;62740.0000000;62743.0000000;62737.0000000;62737.0000000;330
20200106;121000;62740.0000000;62758.0000000;62738.0000000;62740.0000000;1586
20200106;121100;62741.0000000;62753.0000000;62739.0000000;62740.0000000;226
20200106;121200;62739.0000000;62747.0000000;62737.0000000;62741.0000000;276
20200106;121300;62741.0000000;62744.0000000;62735.0000000;62737.0000000;389
20200106;121400;62739.0000000;62740.0000000;62726.0000000;62726.0000000;1044
20200106;121500;62726.0000000;62741.0000000;62726.0000000;62739.0000000;331
20200106;121600;62740.0000000;62741.0000000;62730.0000000;62736.0000000;548
20200106;121700;62737.0000000;62737.0000000;62729.0000000;62730.0000000;321
20200106;121800;62730.0000000;62730.0000000;62718.0000000;62726.0000000;414
20200106;121900;62729.0000000;62736.0000000;62729.0000000;62733.0000000;230
20200106;122000;62732.0000000;62753.0000000;62731.0000000;62748.0000000;643
20200106;122100;62748.0000000;62750.0000000;62725.0000000;62738.0000000;702
20200106;122200;62736.0000000;62744.0000000;62735.0000000;62742.0000000;210
20200106;122300;62744.0000000;62744.0000000;62732.0000000;62736.0000000;402
