<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
20210909;225100;73062.0000000;73062.0000000;73050.0000000;73050.0000000;678
20210909;225200;73052.0000000;73055.0000000;73047.0000000;73052.0000000;319
20210909;225300;73054.0000000;73055.0000000;73047.0000000;73048.0000000;103
20210909;225400;73047.0000000;73060.0000000;73043.0000000;73057.0000000;512
20210909;225500;73056.0000000;73057.0000000;73044.0000000;73055.0000000;251
20210909;225600;73054.0000000;73054.0000000;73048.0000000;73048.0000000;95
20210909;225700;73047.0000000;73054.0000000;73042.0000000;73050.0000000;201
20210909;225800;73050.0000000;73054.0000000;73046.0000000;73052.0000000;299
20210909;225900;73052.0000000;73061.0000000;73047.0000000;73052.0000000;1265
20210909;230000;73054.0000000;73058.0000000;73050.0000000;73053.0000000;379
20210909;230100;73054.0000000;73055.0000000;73052.0000000;73055.0000000;58
20210909;230200;73054.0000000;73060.0000000;73053.0000000;73057.0000000;279
20210909;230300;73057.0000000;73070.0000000;73056.0000000;73066.0000000;669
20210909;230400;73066.0000000;73071.0000000;73064.0000000;73071.0000000;652
20210909;230500;73071.0000000;73082.0000000;73070.0000000;73081.0000000;1008
20210909;230600;73082.0000000;73082.0000000;73072.0000000;73077.0000000;191
20210909;230700;73076.0000000;73078.0000000;73071.0000000;73076.0000000;202
20210909;230800;73076.0000000;73076.0000000;73066.0000000;73067.0000000;276
20210909;230900;73071.0000000;73073.0000000;73068.0000000;73070.0000000;164
20210909;231000;73074.0000000;73075.0000000;73070.0000000;73074.0000000;527
20210909;231100;73075.0000000;73075.0000000;73070.0000000;73073.0000000;95
20210909;231200;73074.0000000;73075.0000000;73073.0000000;73075.0000000;61
20210909;231300;73076.0000000;73076.0000000;73073.0000000;73075.0000000;51
20210909;231400;73076.0000000;73080.0000000;73075.0000000;73080.0000000;238
20210909;231500;73080.0000000;73082.0000000;73078.0000000;73081.0000000;654
20210909;231600;73081.0000000;73085.0000000;73081.0000000;73083.0000000;775
20210909;231700;73084.0000000;73086.0000000;73082.0000000;73086.0000000;331
20210909;231800;73084.0000000;73086.0000000;73076.0000000;73081.0000000;234
20210909;231900;73080.0000000;73081.0000000;73075.0000000;73081.0000000;227
20210909;232000;73082.0000000;73087.0000000;73074.0000000;73084.0000000;974
20210909;232100;73083.0000000;73087.0000000;73082.0000000;73082.0000000;430
20210909;232200;73083.0000000;73087.0000000;73080.0000000;73080.0000000;469
20210909;232300;73080.0000000;73083.0000000;73079.0000000;73083.0000000;42
20210909;232400;73083.0000000;73083.0000000;73080.0000000;73080.0000000;57
20210909;232500;73083.0000000;73083.0000000;73077.0000000;73077.0000000;156
20210909;232600;73080.0000000;73080.0000000;73076.0000000;73080.0000000;39
20210909;232700;73079.0000000;73085.0000000;73077.0000000;73080.0000000;407
20210909;232800;73080.0000000;73080.0000000;73074.0000000;73075.0000000;110
20210909;232900;73078.0000000;73078.0000000;73075.0000000;73075.0000000;140
