<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
20211011;070000;72763.0000000;72764.0000000;72613.0000000;72677.0000000;9930
20211011;070100;72669.0000000;72678.0000000;72637.0000000;72637.0000000;4320
20211011;070200;72637.0000000;72656.0000000;72635.0000000;72642.0000000;1850
20211011;070300;72642.0000000;72673.0000000;72642.0000000;72666.0000000;1415
20211011;070400;72669.0000000;72672.0000000;72661.0000000;72663.0000000;1466
20211011;070500;72665.0000000;72665.0000000;72647.0000000;72647.0000000;1201
20211011;070600;72646.0000000;72650.0000000;72642.0000000;72645.0000000;719
20211011;070700;72650.0000000;72659.0000000;72650.0000000;72655.0000000;1548
20211011;070800;72658.0000000;72662.0000000;72655.0000000;72661.0000000;1402
20211011;070900;72659.0000000;72668.0000000;72654.0000000;72668.0000000;1630
20211011;071000;72665.0000000;72669.0000000;72658.0000000;72669.0000000;1788
20211011;071100;72665.0000000;72675.0000000;72665.0000000;72672.0000000;747
20211011;071200;72672.0000000;72673.0000000;72666.0000000;72671.0000000;335
20211011;071300;72672.0000000;72673.0000000;72665.0000000;72666.0000000;231
20211011;071400;72666.0000000;72666.0000000;72658.0000000;72663.0000000;283
20211011;071500;72659.0000000;72663.0000000;72655.0000000;72658.0000000;1176
20211011;071600;72658.0000000;72661.0000000;72655.0000000;72657.0000000;677
20211011;071700;72660.0000000;72668.0000000;72657.0000000;72660.0000000;644
20211011;071800;72660.0000000;72668.0000000;72656.0000000;72663.0000000;579
20211011;071900;72664.0000000;72667.0000000;72661.0000000;72666.0000000;409
20211011;072000;72663.0000000;72670.0000000;72661.0000000;72668.0000000;350
20211011;072100;72667.0000000;72670.0000000;72663.0000000;72669.0000000;557
20211011;072200;72665.0000000;72670.0000000;72665.0000000;72670.0000000;209
20211011;072300;72670.0000000;72673.0000000;72670.0000000;72670.0000000;449
20211011;072400;72669.0000000;72673.0000000;72667.0000000;72670.0000000;253
20211011;072500;72670.0000000;72673.0000000;72661.0000000;72665.0000000;359
20211011;072600;72662.0000000;72687.0000000;72661.0000000;72685.0000000;1803
20211011;072700;72685.0000000;72690.0000000;72681.0000000;72690.0000000;890
20211011;072800;72689.0000000;72694.0000000;72689.0000000;72689.0000000;273
20211011;072900;72688.0000000;72691.0000000;72685.0000000;72689.0000000;327
20211011;073000;72688.0000000;72688.0000000;72680.0000000;72683.0000000;304
20211011;073100;72684.0000000;72687.0000000;72677.0000000;72679.0000000;423
20211011;073200;72679.0000000;72692.0000000;72679.0000000;72692.0000000;489
20211011;073300;72692.0000000;72692.0000000;72685.0000000;72686.0000000;89
20211011;073400;72691.0000000;72691.0000000;72684.0000000;72688.0000000;121
20211011;073500;72685.0000000;72691.0000000;72685.0000000;72686.0000000;139
20211011;073600;72691.0000000;72691.0000000;72686.0000000;72688.0000000;59
20211011;073700;72688.0000000;72690.0000000;72679.0000000;72679.0000000;498
20211011;073800;72684.0000000;72684.0000000;72662.0000000;72668.0000000;1151
20211011;073900;72662.0000000;72668.0000000;72660.0000000;72666.0000000;985
20211011;074000;72661.0000000;72670.0000000;72660.0000000;72660.0000000;1580
20211011;074100;72660.0000000;72664.0000000;72658.0000000;72664.0000000;372
20211011;074200;72658.0000000;72664.0000000;72656.0000000;72664.0000000;380
20211011;074300;72658.0000000;72664.0000000;72658.0000000;72661.0000000;169
20211011;074400;72660.0000000;72662.0000000;72655.0000000;72662.0000000;620
20211011;074500;72656.0000000;72657.0000000;72646.0000000;72651.0000000;1352
20211011;074600;72650.0000000;72663.0000000;72645.0000000;72663.0000000;580
20211011;074700;72663.0000000;72663.0000000;72657.0000000;72662.0000000;302
20211011;074800;72662.0000000;72662.0000000;72658.0000000;72661.0000000;236
20211011;074900;72661.0000000;72693.0000000;72660.0000000;72682.0000000;3125
20211011;075000;72685.0000000;72690.0000000;72680.0000000;72690.0000000;275
20211011;075100;72690.0000000;72693.0000000;72686.0000000;72690.0000000;437
20211011;075200;72687.0000000;72694.0000000;72686.0000000;72694.0000000;448
20211011;075300;72691.0000000;72693.0000000;72688.0000000;72689.0000000;127
20211011;075400;72689.0000000;72694.0000000;72689.0000000;72693.0000000;123
20211011;075500;72693.0000000;72693.0000000;72677.0000000;72677.0000000;783
20211011;075600;72677.0000000;72681.0000000;72673.0000000;72676.0000000;404
20211011;075700;72676.0000000;72678.0000000;72666.0000000;72666.0000000;381
20211011;075800;72670.0000000;72679.0000000;72665.0000000;72679.0000000;508
20211011;075900;72679.0000000;72679.0000000;72670.0000000;72670.0000000;332
20211011;080000;72676.0000000;72676.0000000;72666.0000000;72673.0000000;340
20211011;080100;72672.0000000;72674.0000000;72666.0000000;72674.0000000;128
20211011;080200;72674.0000000;72690.0000000;72674.0000000;72686.0000000;466
20211011;080300;72684.0000000;72684.0000000;72670.0000000;72670.0000000;313
20211011;080400;72674.0000000;72675.0000000;72662.0000000;72667.0000000;1032
20211011;080500;72663.0000000;72667.0000000;72659.0000000;72667.0000000;181
20211011;080600;72669.0000000;72672.0000000;72655.0000000;72656.0000000;874
20211011;080700;72656.0000000;72656.0000000;72646.0000000;72649.0000000;707
20211011;080800;72649.0000000;72652.0000000;72619.0000000;72625.0000000;2215
20211011;080900;72625.0000000;72626.0000000;72610.0000000;72616.0000000;1229
20211011;081000;72618.0000000;72621.0000000;72607.0000000;72607.0000000;855
20211011;081100;72610.0000000;72620.0000000;72607.0000000;72620.0000000;786
20211011;081200;72620.0000000;72635.0000000;72618.0000000;72631.0000000;1210
20211011;081300;72633.0000000;72634.0000000;72623.0000000;72633.0000000;352
20211011;081400;72632.0000000;72634.0000000;72628.0000000;72632.0000000;139
20211011;081500;72631.0000000;72632.0000000;72624.0000000;72632.0000000;379
20211011;081600;72628.0000000;72634.0000000;72628.0000000;72634.0000000;232
20211011;081700;72634.0000000;72637.0000000;72630.0000000;72633.0000000;358
20211011;081800;72631.0000000;72635.0000000;72626.0000000;72628.0000000;364
20211011;081900;72628.0000000;72641.0000000;72628.0000000;72629.0000000;614
20211011;082000;72632.0000000;72634.0000000;72628.0000000;72630.0000000;349
20211011;082100;72629.0000000;72633.0000000;72626.0000000;72633.0000000;361
20211011;082200;72632.0000000;72633.0000000;72631.0000000;72633.0000000;66
20211011;082300;72632.0000000;72633.0000000;72631.0000000;72631.0000000;92
20211011;082400;72631.0000000;72646.0000000;72631.0000000;72643.0000000;1307
20211011;082500;72643.0000000;72659.0000000;72639.0000000;72650.0000000;1657
20211011;082600;72647.0000000;72657.0000000;72632.0000000;72632.0000000;1465
20211011;082700;72633.0000000;72647.0000000;72633.0000000;72643.0000000;284
20211011;082800;72644.0000000;72644.0000000;72640.0000000;72643.0000000;117
20211011;082900;72643.0000000;72647.0000000;72643.0000000;72645.0000000;411
20211011;083000;72646.0000000;72646.0000000;72632.0000000;72640.0000000;370
20211011;083100;72640.0000000;72643.0000000;72631.0000000;72632.0000000;404
20211011;083200;72631.0000000;72640.0000000;72627.0000000;72633.0000000;428
20211011;083300;72632.0000000;72643.0000000;72632.0000000;72641.0000000;262
